country,fert_rate,gdp,health_exp_per_cap,health_exp_pub,prim_ed_girls,mat_mort_ratio,population
Indonesia,2.471,902944866219.9316,288.5604873933333,1.1256339362385768,48.1713056564331,136.75,255064836.0
"Iran, Islamic Rep.",1.7149999999999999,479398094408.50574,1090.20635686,2.7541474866226565,49.55066013336185,25.75,78387593.0
Iraq,4.58125,207685387927.19757,697.4151430533333,3.4457962374008932,,50.25,34996803.4
Ireland,1.96,259826259103.8286,3792.295305063333,5.36572995922089,48.77338981628415,8.0,4650469.2
Isle of Man,,6871989195.4299135,,,,,82582.6
Israel,3.0625,295577072810.60504,2539.02468934,4.82484039634325,48.790702819824226,5.0,8222580.0
Italy,1.39,2005983979851.9097,3266.98409374,6.984374437227344,48.40757274627684,4.0,60378795.4
Jamaica,2.06125,14253139429.626537,490.39083938333334,3.154157784432043,48.64080238342282,90.5,2861635.0
Japan,1.43,5106024760217.122,3687.1262793366664,8.496073852643569,48.74419911702473,5.75,127297102.2
Jordan,3.44025,35306037014.084496,798.4504709299999,5.191986655091476,48.8194808959961,58.75,8766089.4
Kazakhstan,2.6825,196818842063.4126,1001.7731090766666,2.321774272383673,48.740070343017564,13.0,17291416.4
Kenya,4.371,60250399680.70957,158.74605916666667,3.39106922943628,49.7365214029948,534.25,46039110.8
Kiribati,3.74525,177430636.2866996,179.37238297,8.279183590868037,49.55725479125975,95.0,110481.6
"Korea, Dem. People's Rep.",1.9825000000000002,,,,49.0302810668945,86.25,25113782.0
"Korea, Rep.",1.232,1346751161809.782,2385.4472507133337,3.9156060539043165,48.023387908935526,12.0,50727211.8
Kosovo,2.1425,6804619738.171179,,,,,1813820.0
Kuwait,2.1340000000000003,156226123413.938,2101.92074378,2.3224234532746135,48.988735198974595,4.0,3752953.8
Kyrgyz Republic,3.175,6927546074.023203,210.54498938333333,3.9055393981354136,48.7723026275635,78.25,5840380.0
Lao PDR,3.02875,13139116766.433899,97.09030378,0.8999509558837889,47.797287940979,222.5,6581688.6
Late-demographic dividend,1.667820382010155,18620143285714.16,838.2591993115293,3.3357462076951534,47.04638290405276,36.0,2235351728.0
Latin America & Caribbean,2.1251638236267274,5845138350758.57,1069.1418646133666,3.6596213821657138,48.37860361735023,70.75,624218439.6
Latin America & Caribbean (IDA & IBRD),2.138122001552395,5636799966776.348,1050.0108966641799,3.585924077510087,48.382980346679695,71.5,608034177.2
Latin America & Caribbean (excluding high income),2.14074185389322,5377436558052.82,1046.11626800675,3.6389738940546494,48.37904612223306,72.75,596930236.0
Latvia,1.5599999999999998,28886049079.434925,901.5695003566666,3.61067680453723,48.62838554382325,18.0,1995739.8
Least developed countries: UN classification,4.23441034527033,893210136135.65,108.19479341784601,1.9442628115010196,47.7072868347168,460.0,934545764.8
Lebanon,1.701,45581992167.42952,1035.3539097466667,3.11133652610386,48.29886722564697,16.0,5530786.4
Lesotho,3.2005,2453298367.2902637,276.05592505333334,8.312694455138901,48.99822235107422,520.25,2146308.0
Liberia,4.75675,1966000000.0,87.69329877,3.1259250041197935,46.696933746337905,753.75,4394407.0
Libya,2.48575,,955.38886122,3.23135971919533,,9.0,6225308.8
Liechtenstein,1.535,6170415565.802819,,,48.899433135986335,,37115.0
Lithuania,1.6125,44401539334.902054,1656.7189306966666,4.369686621952294,48.73595809936523,10.0,2931007.4
Low & middle income,2.595257781238425,27246344886158.938,498.19306078041535,2.9820746832739435,,245.25,6089147793.621699
Low income,4.891743487149288,389830205256.1017,88.83829425445879,2.4490132591138996,47.7905168533325,523.0,625090942.2
Lower middle income,2.877480598161722,5929275457718.018,254.618641562922,1.6575782283605303,48.63293743133548,262.5,2927329371.4
Luxembourg,1.53,60556044838.50084,6639.838536506667,5.916714766570794,48.5294494628906,10.25,556640.2
"Macao SAR, China",1.22075,48029914478.6307,,,47.86080837249755,,588052.4
"Macedonia, FYR",1.51675,10575295683.7322,803.8186522733334,4.243695503307347,48.40748977661133,8.0,2077556.8
Madagascar,4.438750000000001,10184858603.216024,50.23345227666667,1.9499882812843337,49.60866260528565,377.0,23605231.8
Malawi,5.17875,5883435315.688627,90.69121178666666,6.186002064108926,50.351914405822754,633.0,17081694.4
Malaysia,1.94975,313686193432.10095,962.5955212033332,2.2395568200652303,48.67300987243655,42.25,30203123.4
Maldives,2.1345,3086803059.723072,1555.4027141866666,8.507937562350401,48.487710952758796,70.75,401131.0
Mali,6.2705,13210370267.53742,102.81779574,1.6509025894509632,46.25239690144857,603.75,16982015.2
Malta,1.4124999999999999,10351058282.829512,3028.6637297366665,6.640982593800353,48.78568553924557,9.5,427802.8
Marshall Islands,,184318900.0,657.05933465,14.302529344530768,48.397281646728494,,52882.8
Mauritania,4.63225,5164009615.558276,134.14110159999998,1.6557673587677002,50.5270595550537,642.0,4064737.6
Mauritius,1.4425000000000001,12089548468.94898,850.7323328433334,2.3409815761000097,49.39230537414552,53.75,1260309.4
Mexico,2.2569999999999997,1188802779752.6602,1081.2089478566666,3.2258387132023834,48.906295776367166,40.0,124203449.6
"Micronesia, Fed. Sts.",3.26925,319320780.0,456.40385147999996,12.037276582272233,48.0840301513672,103.25,104118.0
Middle East & North Africa,2.85253055844402,3380647344816.462,912.4915520750319,3.0556599767101833,47.621273040771506,83.5,420887628.2
Middle East & North Africa (IDA & IBRD),2.8720044160032745,1570092066691.5676,698.1881829928443,3.0577980214034035,47.42639668782553,93.5,356719660.2
Middle East & North Africa (excluding high income),2.8864849359505422,1582498666403.0225,698.1881829928443,3.0577980214034035,47.44083277384443,92.75,361016619.8
Middle income,2.3617463901463305,26910137014513.52,542.3409396385333,2.99647981211958,48.04413986206052,185.75,5468295714.821699
Moldova,1.2590000000000001,7303144522.668559,495.8394973133333,5.284283751166523,48.4139156341553,24.25,3556118.0
Monaco,,,6421.678714573332,3.7200845395390565,49.63714313507077,,38138.4
Mongolia,2.64775,12000620664.11712,484.82182589666667,2.364227435637417,48.8766222000122,48.0,2922300.8
Montenegro,1.699,4266611705.9827423,923.70021585,3.95294918586564,47.9289264678955,7.25,621711.6
Morocco,2.52025,103402328694.35983,433.52598417333337,2.0468473738977635,47.54865169525147,128.75,34311349.6
Mozambique,5.386000000000001,14665502587.24094,66.39433411333333,3.2774017235037305,47.62593746185303,521.5,27232705.4
Myanmar,2.225,63093839985.03963,92.99753884666666,0.8971250202059187,48.991458892822294,186.5,51929556.8
Namibia,3.5352500000000004,12068453510.16548,804.9873692900001,5.08012395663654,49.08412551879886,280.0,2371344.0
Nauru,,106390758.2683738,611.0208559366666,4.527931829989264,49.4094390869141,,11695.4
Nepal,2.2655,20116614748.71874,130.60260314,2.3415254235029535,50.62122955322264,283.0,28319505.8
Netherlands,1.7049999999999998,819284999985.2646,5162.190603533334,9.54222968897879,48.62519931793215,7.0,16876546.6
New Caledonia,2.25,,,,,,268200.0
New Zealand,2.005,185598412836.6328,3872.181037973334,9.285626630983527,48.7707052230835,11.5,4529660.0
Nicaragua,2.28375,11874799687.4164,399.51202012333334,4.5920376329458295,,156.75,6013763.0
Niger,7.60775,7501482314.102046,50.059002639999996,2.6273352311315663,44.84112453460693,585.5,19175235.4
Nigeria,5.6755,486113578793.0049,201.2151061866667,0.9461106382633381,48.369808197021506,818.5,176551694.6
North America,1.8344041434953475,19083361489554.16,8615.535449664554,8.066182204387244,48.70868301391604,13.5,354140394.6
Northern Mariana Islands,,822250000.0,,,,,54412.2
Norway,1.7825,457585186118.3048,6222.527709256666,8.029629495257069,48.916267395019524,5.0,5131392.8
OECD members,1.7494181597968324,47877427714772.1,4566.959376685646,7.636198254674753,48.70436350504556,15.0,1273148695.2
Oman,2.7914999999999996,74557540529.21552,1214.81694172,2.5595863851179366,50.0527048110962,17.75,3952324.4
Other small states,3.2090909615150673,403296437854.6598,1004.2835159402416,2.991125941410387,48.7751235961914,327.0,28758275.8
Pacific island small states,3.2969419718839053,8546179242.604276,273.35559567374236,4.440205192100183,48.12359746297201,79.0,2329726.2
Pakistan,3.64825,250934588826.0688,126.57520115333334,0.9772017679231726,44.307200431823745,187.25,185550874.8
Palau,2.2199999999999998,254840000.0,1389.99307719,6.623460464510603,46.42568969726563,,21112.6
Panama,2.4535,48259342700.0,1530.4603827066667,5.55129863810573,48.289173126220696,97.75,3903750.8
Papua New Guinea,3.7857499999999997,15911157981.239134,116.95722366,3.674942024531436,45.9072418212891,221.5,7756860.4
Paraguay,2.56425,27833121439.5299,845.2076320699999,4.627366913237043,48.259361267089794,135.25,6552394.0
Peru,2.4665,195244386953.20538,613.3277576166666,3.070167498229807,48.887555122375495,71.25,30969709.2
Philippines,2.995,280838449206.0486,301.25195195000003,1.4833862072792634,47.887580871582,119.5,100097300.8
Poland,1.3150000000000002,503311262338.6862,1548.3098286766665,4.5398599802454,48.74991099039713,3.0,38009904.6
Portugal,1.2375,215143697055.1936,2649.3711930900004,6.209751979530426,47.90350532531735,10.25,10411177.6
Post-demographic dividend,1.6364703573682673,45418059665264.04,5124.214161599583,7.858169572708533,48.6498629252116,10.75,1092637277.8
Pre-demographic dividend,5.359472039095648,1331581075173.8318,164.12012286407565,2.022034113983077,46.96049626668293,589.0,830918481.2
Puerto Rico,1.469125,102107758000.0,,,48.49447758992513,14.75,3529385.4
Qatar,2.03375,181779230769.23062,2947.8867975,1.8538900512416099,49.01477622985838,13.25,2357160.6
Romania,1.4924999999999997,185384091005.8606,1051.55074159,4.464052855105101,48.2542247772217,30.75,19894297.8
Russian Federation,1.7245,1822691700385.484,1755.5066347233333,3.7313543849780064,48.96807003021243,25.25,143793503.8
Rwanda,3.9632499999999995,7918320022.940794,120.47847416999998,2.87681860151848,50.664687156677246,312.0,11349284.4
Samoa,4.11825,799887347.3870242,366.35309605666663,5.697059229650603,48.35004933675129,54.75,192225.0
San Marino,1.26,,3437.29874696,5.752693127864313,45.6162605285645,,32607.4
Sao Tome and Principe,4.60375,314539986.36952275,304.2375325566666,3.2271253966339706,48.66416854858397,159.5,191332.6
